date,code,name,sector,sector_name,reason,expected_high,expected_low,actual_change,hit,created_at
2026-05-22,002594,比亚迪,energy,储能/绿电,碳中和+装机旺季,1.0,-3.0,,,2026-05-22T23:42:13.021845
2026-05-22,002459,晶澳科技,energy,储能/绿电,碳中和+装机旺季,1.0,-3.0,,,2026-05-22T23:42:13.022252
2026-05-22,603667,五洲新春,robot,人形机器人,特斯拉Optimus Q1发布+政策扶持,1.0,-3.0,,,2026-05-22T23:42:13.022659
2026-05-22,002836,新宏泽,robot,人形机器人,特斯拉Optimus Q1发布+政策扶持,1.0,-3.0,,,2026-05-22T23:42:13.023508
2026-05-22,002230,科大讯飞,robot,人形机器人,特斯拉Optimus Q1发布+政策扶持,1.0,-3.0,,,2026-05-22T23:42:13.024535
2026-05-22,002415,海康威视,ai_app,AI应用,端侧AI+智能汽车,1.0,-3.0,,,2026-05-22T23:42:13.026601
2026-05-22,600703,三安光电,semi,半导体设备,AI芯片国产替代+政策驱动,5.0,1.0,,,2026-05-22T23:42:13.027941
2026-05-22,002049,紫光国微,semi,半导体设备,AI芯片国产替代+政策驱动,5.0,1.0,,,2026-05-22T23:42:13.028758
2026-05-22,600584,长电科技,semi,半导体设备,AI芯片国产替代+政策驱动,5.0,1.0,,,2026-05-22T23:42:13.029960
2026-05-22,603906,龙蟠科技,chem,化工,尾盘量化精选,5,-3,,,2026-05-22T23:42:27.762688
2026-05-22,605566,福莱蒽特,chem,化工,尾盘量化精选,5,-3,,,2026-05-22T23:42:27.762704
2026-05-22,603090,宏盛股份,mach,机械,尾盘量化精选,5,-3,,,2026-05-22T23:42:27.762713
2026-05-22,603311,金海高科,mach,机械,尾盘量化精选,5,-3,,,2026-05-22T23:42:27.762722
2026-05-22,603075,热威股份,elec,电子,尾盘量化精选,5,-3,,,2026-05-22T23:42:27.762731
2026-05-25,603678,火炬电子,,,,,,,,2026-05-25T14:46:07.512955
2026-05-26,603919,金徽酒,,,,,,,,2026-05-26T14:45:45.844273
2026-05-26,605111,新洁能,,,,,,,,2026-05-26T14:45:45.844292
2026-05-26,603303,得邦照明,,,,,,,,2026-05-26T14:45:45.844304
2026-05-27,600378,昊华科技,,,,,,,,2026-05-27T14:46:04.521057
2026-05-27,600367,红星发展,,,,,,,,2026-05-27T14:46:04.521077
2026-05-27,603353,和顺石油,,,,,,,,2026-05-27T14:46:04.521090
2026-05-28,603663,三祥新材,,,,,,,,2026-05-28T14:45:50.479096
2026-05-28,600353,旭光电子,,,,,,,,2026-05-28T14:45:50.479124
2026-05-28,002927,泰永长征,,,,,,,,2026-05-28T14:45:50.479155
2026-05-29,603267,鸿远电子,,,,,,,,2026-05-29T14:46:00.401406
2026-05-29,002859,洁美科技,,,,,,,,2026-05-29T14:46:00.401426
2026-05-29,600367,红星发展,,,,,,,,2026-05-29T14:46:00.401441
2026-05-29,603031,安孚科技,,,,,,,,2026-05-29T14:46:00.401460
2026-06-01,001269,欧晶科技,,,,,,,,2026-06-01T14:46:38.176559
2026-06-03,600114,东睦股份,,,,,,,,2026-06-03T14:46:46.720491
2026-06-03,600362,江西铜业,,,,,,,,2026-06-03T14:46:46.720514
2026-06-05,605398,新炬网络,,,,,,,,2026-06-05T14:45:35.136125
2026-06-05,605060,联德股份,,,,,,,,2026-06-05T14:45:35.136148
2026-06-05,603067,振华股份,,,,,,,,2026-06-05T14:45:35.136165
